OBJECTID *,Flow_Rate_m3_h,PVC_Diameter_mm,PVC_Diameter_in,Demand_diameter
1,1,50,2,3
2,2,50,2,3
3,3,50,2,3
4,4,50,2,3
5,5,50,2,3
6,6,50,2,3
7,7,50,2,3
8,8,50,2,3
9,9,50,2,3
10,10,50,2,3
11,11,50,2,3
12,12,50,2,3
13,13,50,2,3
14,14,50,2,3
15,15,50,2,3
16,16,50,2,3
17,17,50,2,3
18,18,50,2,3
19,19,50,2,3
20,20,50,2,3
21,21,50,2,3
22,22,50,2,3
23,23,50,2,3
24,24,50,2,3
25,25,50,2,3
26,26,50,2,3
27,27,50,2,3
28,28,50,2,3
29,29,50,2,3
30,30,50,2,3
31,31,50,2,3
32,32,50,2,3
33,33,50,2,3
34,34,100,4,3
35,35,100,4,3
36,36,100,4,3
37,37,100,4,3
38,38,100,4,3
39,39,100,4,3
40,40,100,4,3
41,41,100,4,3
42,42,100,4,3
43,43,100,4,3
44,44,100,4,3
45,45,100,4,3
46,46,100,4,3
47,47,100,4,3
48,48,100,4,3
49,49,100,4,3
50,50,100,4,3
51,51,100,4,3
52,52,100,4,3
53,53,100,4,3
54,54,100,4,3
55,55,100,4,3
56,56,100,4,3
57,57,100,4,3
58,58,100,4,3
59,59,100,4,3
60,60,100,4,3
61,61,100,4,3
62,62,100,4,3
63,63,100,4,3
64,64,100,4,3
65,65,100,4,3
66,66,100,4,3
67,67,100,4,3
68,68,100,4,3
69,69,100,4,3
70,70,100,4,3
71,71,160,6,3
72,72,160,6,3
73,73,160,6,3
74,74,160,6,3
75,75,160,6,3
76,76,160,6,3
77,77,160,6,3
78,78,160,6,3
79,79,160,6,3
80,80,160,6,3
81,81,160,6,3
82,82,160,6,3
83,83,160,6,3
84,84,160,6,3
85,85,160,6,3
86,86,160,6,3
87,87,160,6,3
88,88,160,6,3
89,89,160,6,3
90,90,160,6,3
91,91,160,6,3
92,92,160,6,3
93,93,160,6,3
94,94,160,6,3
95,95,160,6,3
96,96,160,6,3
97,97,160,6,3
98,98,160,6,3
99,99,160,6,3
100,100,160,6,3
101,101,200,8,3
102,102,200,8,3
103,103,200,8,3
104,104,200,8,3
105,105,200,8,3
106,106,200,8,3
107,107,200,8,3
108,108,200,8,3
109,109,200,8,3
110,110,200,8,3
111,111,200,8,3
112,112,200,8,3
113,113,200,8,3
114,114,200,8,3
115,115,200,8,3
116,116,200,8,3
117,117,200,8,3
118,118,200,8,3
119,119,200,8,3
120,120,200,8,3
121,121,200,8,3
122,122,200,8,3
123,123,200,8,3
124,124,200,8,3
125,125,200,8,3
126,126,200,8,3
127,127,200,8,3
128,128,200,8,3
129,129,200,8,3
130,130,200,8,3
131,131,200,8,3
132,132,200,8,3
133,133,200,8,3
134,134,200,8,3
135,135,200,8,3
136,136,200,8,3
137,137,200,8,3
138,138,200,8,3
139,139,200,8,3
140,140,200,8,3
141,141,200,8,3
142,142,200,8,3
143,143,200,8,3
144,144,200,8,3
145,145,200,8,3
146,146,200,8,3
147,147,200,8,3
148,148,200,8,3
149,149,200,8,3
150,150,200,8,3
151,151,200,8,3
152,152,200,8,3
153,153,200,8,3
154,154,200,8,3
155,155,200,8,3
156,156,200,8,3
157,157,200,8,3
158,158,200,8,3
159,159,200,8,3
160,160,200,8,3
161,161,200,8,3
162,162,200,8,3
163,163,200,8,3
164,164,200,8,3
165,165,200,8,3
166,166,200,8,3
167,167,200,8,3
168,168,200,8,3
169,169,200,8,3
170,170,200,8,3
171,171,350,10,3
172,172,350,10,3
173,173,350,10,3
174,174,350,10,3
175,175,350,10,3
176,176,350,10,3
177,177,350,10,3
178,178,350,10,3
179,179,350,10,3
180,180,350,10,3
181,181,350,10,3
182,182,350,10,3
183,183,350,10,3
184,184,350,10,3
185,185,350,10,3
186,186,350,10,3
187,187,350,10,3
188,188,350,10,3
189,189,350,10,3
190,190,350,10,3
191,191,350,10,3
192,192,350,10,3
193,193,350,10,3
194,194,350,10,3
195,195,350,10,3
196,196,350,10,3
197,197,350,10,3
198,198,350,10,3
199,199,350,10,3
200,200,350,10,3
201,201,350,10,3
202,202,350,10,3
203,203,350,10,3
204,204,350,10,3
205,205,350,10,3
206,206,350,10,3
207,207,350,10,3
208,208,350,10,3
209,209,350,10,3
210,210,350,10,3
211,211,350,10,3
212,212,350,10,3
213,213,350,10,3
214,214,350,10,3
215,215,350,10,3
216,216,350,10,3
217,217,350,10,3
218,218,350,10,3
219,219,350,10,3
220,220,350,10,3
221,221,350,10,3
222,222,350,10,3
223,223,350,10,3
224,224,350,10,3
225,225,350,10,3
226,226,350,10,3
227,227,350,10,3
228,228,350,10,3
229,229,350,10,3
230,230,350,10,3
231,231,350,10,3
232,232,350,10,3
233,233,350,10,3
234,234,350,10,3
235,235,350,10,3
236,236,350,10,3
237,237,350,10,3
238,238,350,10,3
239,239,350,10,3
240,240,350,10,3
241,241,350,10,3
242,242,350,10,3
243,243,350,10,3
244,244,350,10,3
245,245,350,10,3
246,246,350,10,3
247,247,350,10,3
248,248,350,10,3
249,249,350,10,3
250,250,350,10,3
251,251,350,10,3
252,252,350,10,3
253,253,350,10,3
254,254,350,10,3
255,255,350,10,3
256,256,350,10,3
257,257,350,10,3
258,258,350,10,3
259,259,350,10,3
260,260,350,10,3
261,261,350,10,3
262,262,350,10,3
263,263,350,10,3
264,264,350,10,3
265,265,350,10,3
266,266,350,10,3
267,267,350,10,3
268,268,350,10,3
269,269,350,10,3
270,270,350,10,3
271,271,350,10,3
272,272,350,10,3
273,273,350,10,3
274,274,350,10,3
275,275,350,10,3
276,276,350,10,3
277,277,350,10,3
278,278,350,10,3
279,279,350,10,3
280,280,350,10,3
281,281,350,10,3
282,282,350,10,3
283,283,350,10,3
284,284,350,10,3
285,285,350,10,3
286,286,350,10,3
287,287,350,10,3
288,288,350,10,3
289,289,350,10,3
290,290,350,10,3
291,291,350,10,3
292,292,350,10,3
293,293,350,10,3
294,294,350,10,3
295,295,350,10,3
296,296,350,10,3
297,297,350,10,3
298,298,350,10,3
299,299,350,10,3
300,300,350,10,3
301,301,350,10,3
302,302,350,10,3
303,303,350,10,3
304,304,350,10,3
305,305,350,10,3
306,306,350,10,3
307,307,350,10,3
308,308,350,10,3
309,309,350,10,3
310,310,350,10,3
311,311,350,10,3
312,312,350,10,3
313,313,350,10,3
314,314,350,10,3
315,315,350,10,3
316,316,350,10,3
317,317,350,10,3
318,318,350,10,3
319,319,350,10,3
320,320,350,10,3
321,321,350,10,3
322,322,350,10,3
323,323,350,10,3
324,324,350,10,3
325,325,350,10,3
326,326,350,10,3
327,327,350,10,3
328,328,350,10,3
329,329,350,10,3
330,330,350,10,3
331,331,350,10,3
332,332,350,10,3
333,333,350,10,3
334,334,350,10,3
335,335,350,10,3
336,336,350,10,3
337,337,350,10,3
338,338,350,10,3
339,339,350,10,3
340,340,350,10,3
341,341,350,10,3
342,342,350,10,3
343,343,350,10,3
344,344,350,10,3
345,345,350,10,3
346,346,350,10,3
347,347,350,10,3
348,348,350,10,3
349,349,350,10,3
350,350,350,10,3
351,351,350,10,3
352,352,350,10,3
353,353,350,10,3
354,354,350,10,3
355,355,350,10,3
356,356,350,10,3
357,357,350,10,3
358,358,350,10,3
359,359,350,10,3
360,360,350,10,3
361,361,350,10,3
362,362,350,10,3
363,363,350,10,3
364,364,350,10,3
365,365,350,10,3
366,366,350,10,3
367,367,350,10,3
368,368,350,10,3
369,369,350,10,3
370,370,350,10,3
371,371,350,10,3
372,372,350,10,3
373,373,350,10,3
374,374,350,10,3
375,375,350,10,3
376,376,350,10,3
377,377,350,10,3
378,378,350,10,3
379,379,350,10,3
380,380,350,10,3
381,381,350,10,3
382,382,350,10,3
383,383,350,10,3
384,384,350,10,3
385,385,350,10,3
386,386,350,10,3
387,387,350,10,3
388,388,350,10,3
389,389,350,10,3
390,390,350,10,3
391,391,350,10,3
392,392,350,10,3
393,393,350,10,3
394,394,350,10,3
395,395,350,10,3
396,396,350,10,3
397,397,350,10,3
398,398,350,10,3
399,399,350,10,3
400,400,350,10,3
401,401,350,10,3
402,402,350,10,3
403,403,350,10,3
404,404,350,10,3
405,405,350,10,3
406,406,350,10,3
407,407,350,10,3
408,408,350,10,3
409,409,350,10,3
410,410,350,10,3
411,411,350,10,3
412,412,350,10,3
413,413,350,10,3
414,414,350,10,3
415,415,350,10,3
416,416,350,10,3
417,417,350,10,3
418,418,350,10,3
419,419,350,10,3
420,420,350,10,3
421,421,350,10,3
422,422,350,10,3
423,423,350,10,3
424,424,350,10,3
425,425,350,10,3
426,426,350,10,3
427,427,350,10,3
428,428,350,10,3
429,429,350,10,3
430,430,350,10,3
431,431,350,10,3
432,432,350,10,3
433,433,350,10,3
434,434,350,10,3
435,435,350,10,3
436,436,350,10,3
437,437,350,10,3
438,438,350,10,3
439,439,350,10,3
440,440,350,10,3
441,441,350,10,3
442,442,350,10,3
443,443,350,10,3
444,444,350,10,3
445,445,350,10,3
446,446,350,10,3
447,447,350,10,3
448,448,350,10,3
449,449,350,10,3
450,450,350,10,3
451,451,350,10,3
452,452,350,10,3
453,453,350,10,3
454,454,350,10,3
455,455,350,10,3
456,456,350,10,3
457,457,350,10,3
458,458,350,10,3
459,459,350,10,3
460,460,350,10,3
461,461,350,10,3
462,462,350,10,3
463,463,350,10,3
464,464,350,10,3
465,465,350,10,3
466,466,350,10,3
467,467,350,10,3
468,468,350,10,3
469,469,350,10,3
470,470,350,10,3
471,471,350,10,3
472,472,350,10,3
473,473,350,10,3
474,474,350,10,3
475,475,350,10,3
476,476,350,10,3
477,477,350,10,3
478,478,350,10,3
479,479,350,10,3
480,480,350,10,3
481,481,350,10,3
482,482,350,10,3
483,483,350,10,3
484,484,350,10,3
485,485,350,10,3
486,486,350,10,3
487,487,350,10,3
488,488,350,10,3
489,489,350,10,3
490,490,350,10,3
491,491,350,10,3
492,492,350,10,3
493,493,350,10,3
494,494,350,10,3
495,495,350,10,3
496,496,350,10,3
497,497,350,10,3
498,498,350,10,3
499,499,350,10,3
500,500,350,10,3
501,501,350,10,3
502,502,350,10,3
503,503,350,10,3
504,504,350,10,3
505,505,350,10,3
506,506,350,10,3
507,507,350,10,3
508,508,350,10,3
509,509,350,10,3
510,510,350,10,3
511,511,350,10,3
512,512,350,10,3
513,513,350,10,3
514,514,350,10,3
515,515,350,10,3
516,516,350,10,3
517,517,350,10,3
518,518,350,10,3
519,519,350,10,3
520,520,350,10,3
521,521,350,10,3
522,522,350,10,3
523,523,350,10,3
524,524,350,10,3
525,525,350,10,3
526,526,350,10,3
527,527,350,10,3
528,528,350,10,3
529,529,350,10,3
530,530,350,10,3
